node_id,x,y,demand,alpha,U_max,eta,node_type
0,21.44,63.7,0.0,0,0,0.0,depot
1,26.86,55.38,18.0,1,3,1.15,customer
2,36.95,55.18,18.0,1,3,1.15,customer
3,39.08,7.25,13.3,1,3,1.15,customer
4,50.77,40.22,11.7,1,3,1.15,customer
5,39.66,5.0,18.0,1,3,1.15,customer
6,30.33,43.64,7.5,1,3,1.15,customer
7,5.0,66.14,7.0,1,3,1.15,customer
8,44.99,51.47,6.0,1,2,0.95,customer
9,21.44,79.35,6.0,1,2,0.95,customer
10,11.67,50.98,4.8,1,2,0.95,customer
11,25.0,60.27,5.6,1,2,0.95,customer
12,29.44,46.09,4.0,1,2,0.95,customer
13,41.88,63.21,3.6,1,2,0.95,customer
14,20.55,95.0,4.0,1,2,0.95,customer
15,20.55,55.87,3.6,1,2,0.95,customer
16,38.33,70.54,3.2,1,2,0.95,customer
17,31.66,60.76,4.0,1,2,0.95,customer
18,49.44,82.77,2.5,0,1,0.8,customer
19,47.21,58.32,1.8,0,1,0.8,customer
20,38.33,41.2,1.5,0,1,0.8,customer
21,29.44,75.43,1.6,0,1,0.8,customer
22,42.77,31.41,1.5,0,1,0.8,customer
23,36.11,87.66,1.5,0,1,0.8,customer
24,40.55,53.42,1.6,0,1,0.8,customer
25,36.11,48.53,1.5,0,1,0.8,customer
26,53.88,58.32,1.5,0,1,0.8,customer
27,53.88,90.11,1.5,0,1,0.8,customer
28,47.21,36.3,1.5,0,1,0.8,customer
29,25.0,28.97,1.5,0,1,0.8,customer
30,33.88,21.63,1.5,0,1,0.8,customer
