method,run,Z,time_s,Z_init
CW,0,711.0291433655067,0.0005413999315351248,
CW,1,711.0291433655067,0.000385599909350276,
CW,2,711.0291433655067,0.0003198001068085432,
CW,3,711.0291433655067,0.000440400093793869,
CW,4,711.0291433655067,0.00033309985883533955,
ClassicalALNS,0,436.42677084115223,1.7056724999565631,711.0291433655067
ClassicalALNS,1,436.9330714299768,1.5887137001845986,711.0291433655067
ClassicalALNS,2,429.0151782583505,1.5719753000885248,711.0291433655067
ClassicalALNS,3,427.933281236892,1.580250599887222,711.0291433655067
ClassicalALNS,4,444.0325692365766,1.4896692999172956,711.0291433655067
DRL-ALNS,0,428.68603599076886,3.243577699875459,711.0291433655067
DRL-ALNS,1,425.9001983225396,3.2070857998915017,711.0291433655067
DRL-ALNS,2,428.15193748517015,3.262642699992284,711.0291433655067
DRL-ALNS,3,425.3249261599082,3.2747541000135243,711.0291433655067
DRL-ALNS,4,428.5330597979617,2.9260665997862816,711.0291433655067
