instance,size_class,n,method,run,Z_best,Z_init,time_s,iters
CSDVRP-L-C-03-n75,L,75,CW,1,2213.5978958302053,2213.5978958302053,0.019832399993902072,0
CSDVRP-L-C-03-n75,L,75,ClassicalALNS,1,1750.4005076859896,2213.5978958302053,117.9158996999904,5000
CSDVRP-L-C-03-n75,L,75,ClassicalALNS,2,1724.8942672993835,2213.5978958302053,60.01406560000032,5000
CSDVRP-L-C-03-n75,L,75,ClassicalALNS,3,1681.074848698544,2213.5978958302053,71.25346839998383,5000
CSDVRP-L-C-03-n75,L,75,ClassicalALNS,4,1683.77526620288,2213.5978958302053,67.59800980001455,5000
CSDVRP-L-C-03-n75,L,75,ClassicalALNS,5,1652.4718543687757,2213.5978958302053,75.52240380001604,5000
CSDVRP-L-C-03-n75,L,75,DRL-ALNS,1,1676.7816345373471,2213.5978958302053,83.69964710000204,5000
CSDVRP-L-C-03-n75,L,75,DRL-ALNS,2,1655.816311122208,2213.5978958302053,81.61294339998858,5000
CSDVRP-L-C-03-n75,L,75,DRL-ALNS,3,1648.4918161291223,2213.5978958302053,82.89729270001408,5000
CSDVRP-L-C-03-n75,L,75,DRL-ALNS,4,1657.26032567451,2213.5978958302053,82.92152859998168,5000
CSDVRP-L-C-03-n75,L,75,DRL-ALNS,5,1668.6761228454716,2213.5978958302053,105.18802850000793,5000
CSDVRP-L-C-02-n75,L,75,CW,1,2522.216631308433,2522.216631308433,0.018260399985592812,0
CSDVRP-L-C-02-n75,L,75,ClassicalALNS,1,1852.3822403297847,2522.216631308433,121.63274749999982,5000
CSDVRP-L-C-02-n75,L,75,ClassicalALNS,2,1846.0415647454972,2522.216631308433,68.91170530000818,5000
CSDVRP-L-C-02-n75,L,75,ClassicalALNS,3,1801.929582576677,2522.216631308433,68.20697970001493,5000
CSDVRP-L-C-02-n75,L,75,ClassicalALNS,4,1825.1970262041496,2522.216631308433,68.72540110000409,5000
CSDVRP-L-C-02-n75,L,75,ClassicalALNS,5,1861.0655280473795,2522.216631308433,64.96993079999811,5000
CSDVRP-L-C-02-n75,L,75,DRL-ALNS,1,1785.1980024639117,2522.216631308433,93.51705429999856,5000
CSDVRP-L-C-02-n75,L,75,DRL-ALNS,2,1800.7772877062935,2522.216631308433,91.22244770001271,5000
CSDVRP-L-C-02-n75,L,75,DRL-ALNS,3,1781.3117445041548,2522.216631308433,98.43469319998985,5000
CSDVRP-L-C-02-n75,L,75,DRL-ALNS,4,1846.176390421517,2522.216631308433,82.51306920000934,5000
