============================================================
  C-SDVRP DRL-ALNS — PPO Training (v2: matched I_max)
============================================================
  Device   : CUDA
  Episodes : 1000
  I_max/ep : _imax_for_n(n)  [1500/3000/5000/6000 per size]
  Sizes    : ['S-10', 'S-15', 'S-20', 'M-30', 'M-50', 'L-75', 'L-100', 'XL-150', 'XL-200']
  Model    : C:\Users\utente\OneDrive - Università degli Studi dell'Aquila\Desktop\Thesis to Paper Saudi\models\ppo_drl_alns.pt
============================================================
  Ep   10/1000 | n= 10 I=1500 | gap=-12.25% | 5.8s
  Ep   20/1000 | n= 15 I=1500 | gap=-21.93% | valid= 23.78% | 4.4s *** SAVED
  Ep   30/1000 | n= 20 I=1500 | gap=-19.01% | 4.0s
  Ep   40/1000 | n= 30 I=3000 | gap=-32.29% | valid= 24.55% | 12.4s *** SAVED
  Ep   50/1000 | n= 50 I=3000 | gap=-36.77% | 10.7s
  Ep   60/1000 | n= 75 I=5000 | gap=-23.83% | valid= 24.21% | 44.1s
  Ep   70/1000 | n=100 I=5000 | gap=-29.38% | 77.6s
  Ep   80/1000 | n=150 I=5000 | gap=-49.93% | valid= 24.73% | 81.8s *** SAVED
  Ep   90/1000 | n=200 I=6000 | gap=-42.96% | 132.8s
  Ep  100/1000 | n= 10 I=1500 | gap=-14.19% | valid= 23.89% | 3.7s
  Ep  110/1000 | n= 15 I=1500 | gap=-11.29% | 4.0s
  Ep  120/1000 | n= 20 I=1500 | gap=-18.03% | valid= 23.63% | 5.0s
  Ep  130/1000 | n= 30 I=3000 | gap=-25.03% | 12.1s
  Ep  140/1000 | n= 50 I=3000 | gap=-26.65% | valid= 24.03% | 14.9s
  Ep  150/1000 | n= 75 I=5000 | gap=-32.96% | 40.6s
  Ep  160/1000 | n=100 I=5000 | gap=-28.71% | valid= 24.09% | 72.9s
  Ep  170/1000 | n=150 I=5000 | gap=-48.91% | 85.9s
  Ep  180/1000 | n=200 I=6000 | gap=-51.00% | valid= 25.06% | 120.8s *** SAVED
  Ep  190/1000 | n= 10 I=1500 | gap=-16.95% | 2.9s
  Ep  200/1000 | n= 15 I=1500 | gap=-14.76% | valid= 23.96% | 3.0s
  Ep  210/1000 | n= 20 I=1500 | gap=-15.33% | 3.5s
  Ep  220/1000 | n= 30 I=3000 | gap=-27.50% | valid= 23.79% | 7.4s
  Ep  230/1000 | n= 50 I=3000 | gap=-27.26% | 12.4s
  Ep  240/1000 | n= 75 I=5000 | gap=-28.65% | valid= 23.65% | 42.3s
  Ep  250/1000 | n=100 I=5000 | gap=-34.02% | 83.0s
  Ep  260/1000 | n=150 I=5000 | gap=-44.04% | valid= 23.90% | 71.4s
  Ep  270/1000 | n=200 I=6000 | gap=-42.94% | 110.9s
  Ep  280/1000 | n= 10 I=1500 | gap= -4.55% | valid= 24.27% | 3.5s
  Ep  290/1000 | n= 15 I=1500 | gap=-21.64% | 3.6s
  Ep  300/1000 | n= 20 I=1500 | gap=-21.09% | valid= 24.91% | 3.9s
  Ep  310/1000 | n= 30 I=3000 | gap=-32.62% | 7.2s
  Ep  320/1000 | n= 50 I=3000 | gap=-26.08% | valid= 24.09% | 14.5s
  Ep  330/1000 | n= 75 I=5000 | gap=-29.90% | 44.0s
  Ep  340/1000 | n=100 I=5000 | gap=-34.35% | valid= 24.04% | 76.6s
  Ep  350/1000 | n=150 I=5000 | gap=-41.73% | 69.2s
  Ep  360/1000 | n=200 I=6000 | gap=-42.52% | valid= 24.57% | 125.7s
  Ep  370/1000 | n= 10 I=1500 | gap= -0.02% | 2.4s
  Ep  380/1000 | n= 15 I=1500 | gap=-16.24% | valid= 24.09% | 2.9s
  Ep  390/1000 | n= 20 I=1500 | gap= -8.48% | 3.7s
  Ep  400/1000 | n= 30 I=3000 | gap=-26.21% | valid= 24.53% | 12.8s
  Ep  410/1000 | n= 50 I=3000 | gap=-36.24% | 21.2s
  Ep  420/1000 | n= 75 I=5000 | gap=-27.07% | valid= 22.93% | 73.3s
  Ep  430/1000 | n=100 I=5000 | gap=-24.01% | 56.2s
  Ep  440/1000 | n=150 I=5000 | gap=-40.40% | valid= 24.13% | 60.3s
  Ep  450/1000 | n=200 I=6000 | gap=-41.32% | 123.4s
  Ep  460/1000 | n= 10 I=1500 | gap=-23.81% | valid= 23.27% | 3.3s
  Ep  470/1000 | n= 15 I=1500 | gap=-16.36% | 3.7s
  Ep  480/1000 | n= 20 I=1500 | gap=-22.98% | valid= 23.45% | 3.8s
  Ep  490/1000 | n= 30 I=3000 | gap=-32.00% | 9.4s
  Ep  500/1000 | n= 50 I=3000 | gap=-28.52% | valid= 23.48% | 12.6s
  Ep  510/1000 | n= 75 I=5000 | gap=-34.54% | 39.0s
  Ep  520/1000 | n=100 I=5000 | gap=-28.61% | valid= 23.00% | 73.7s
  Ep  530/1000 | n=150 I=5000 | gap=-43.12% | 89.2s
  Ep  540/1000 | n=200 I=6000 | gap=-43.08% | valid= 24.24% | 107.2s
  Ep  550/1000 | n= 10 I=1500 | gap= -6.78% | 14.1s
  Ep  560/1000 | n= 15 I=1500 | gap=-20.95% | valid= 24.11% | 5.5s
  Ep  570/1000 | n= 20 I=1500 | gap=-20.48% | 3.9s
  Ep  580/1000 | n= 30 I=3000 | gap=-42.35% | valid= 25.24% | 9.0s *** SAVED
  Ep  590/1000 | n= 50 I=3000 | gap=-32.57% | 14.4s
  Ep  600/1000 | n= 75 I=5000 | gap=-31.13% | valid= 23.91% | 40.7s
  Ep  610/1000 | n=100 I=5000 | gap=-27.37% | 57.9s
  Ep  620/1000 | n=150 I=5000 | gap=-43.51% | valid= 24.67% | 84.6s
  Ep  630/1000 | n=200 I=6000 | gap=-46.38% | 161.3s
  Ep  640/1000 | n= 10 I=1500 | gap= -9.86% | valid= 24.06% | 3.6s
  Ep  650/1000 | n= 15 I=1500 | gap=-19.71% | 13.4s
  Ep  660/1000 | n= 20 I=1500 | gap=-22.97% | valid= 24.50% | 5.3s
  Ep  670/1000 | n= 30 I=3000 | gap=-31.32% | 16.2s
  Ep  680/1000 | n= 50 I=3000 | gap=-31.28% | valid= 24.46% | 25.8s
  Ep  690/1000 | n= 75 I=5000 | gap=-28.65% | 62.8s
  Ep  700/1000 | n=100 I=5000 | gap=-28.43% | valid= 24.06% | 96.8s
  Ep  710/1000 | n=150 I=5000 | gap=-45.71% | 151.4s
  Ep  720/1000 | n=200 I=6000 | gap=-43.52% | valid= 24.20% | 252.4s
  Ep  730/1000 | n= 10 I=1500 | gap=-33.06% | 5.0s
  Ep  740/1000 | n= 15 I=1500 | gap=-12.76% | valid= 23.55% | 6.2s
  Ep  750/1000 | n= 20 I=1500 | gap= -6.52% | 6.3s
  Ep  760/1000 | n= 30 I=3000 | gap=-25.59% | valid= 23.61% | 21.7s
  Ep  770/1000 | n= 50 I=3000 | gap=-36.86% | 15.1s
  Ep  780/1000 | n= 75 I=5000 | gap=-31.76% | valid= 23.64% | 42.8s
